state_name,total_count_2020,total_count_2019,total_yoy,asian_alone_count_2020,asian_alone_count_2019,aapi_yoy,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,victim_count,total_individual_victims
Arizona,282,209,0.349,4,1,3.000,5,2,4,4,0,7,7
Arkansas,50,14,2.571,1,1,0.000,0,0,1,1,0,1,0
California,1339,1015,0.319,91,43,1.116,101,3,89,83,6,110,104
Colorado,283,231,0.225,7,6,0.167,9,0,7,7,0,11,9
Connecticut,101,80,0.263,1,2,-0.500,1,0,1,1,0,1,1
District of Columbia,134,222,-0.396,1,1,0.000,1,0,1,1,0,1,1
Federal,216,124,0.742,12,0,inf,14,3,10,8,0,26,26
Florida,109,111,-0.018,3,2,0.500,4,1,6,5,1,5,5
Hawaii,36,40,-0.100,4,2,1.000,4,0,4,4,0,4,4
Idaho,48,21,1.286,1,2,-0.500,1,0,1,1,0,1,1
Illinois,61,68,-0.103,3,1,2.000,4,0,2,2,0,5,4
Indiana,187,88,1.125,1,0,inf,0,2,3,0,3,2,2
Kansas,124,75,0.653,2,0,inf,2,0,1,0,1,2,2
Kentucky,167,145,0.152,2,2,0.000,3,0,1,1,0,3,3
Louisiana,62,26,1.385,1,0,inf,1,0,1,1,0,1,1
Maine,85,19,3.474,3,0,inf,1,0,3,3,0,3,1
Maryland,40,19,1.105,1,0,inf,1,0,1,1,0,1,1
Massachusetts,389,376,0.035,13,13,0.000,12,1,10,8,2,16,13
Michigan,420,404,0.040,2,6,-0.667,0,0,0,0,0,2,0
Minnesota,194,140,0.386,9,1,8.000,11,0,6,4,2,12,11
Mississippi,36,21,0.714,2,3,-0.333,2,0,3,1,2,2,2
Missouri,134,90,0.489,2,1,1.000,3,0,1,1,0,3,3
Nebraska,100,44,1.273,3,0,inf,1,0,4,4,0,102,2
Nevada,148,47,2.149,8,2,3.000,7,0,8,8,0,9,7
New Hampshire,30,16,0.875,2,1,1.000,3,0,0,0,0,3,3
New Jersey,1428,996,0.434,67,39,0.718,64,17,24,19,5,67,81
New York,465,612,-0.240,30,6,4.000,0,0,32,0,0,30,21
North Carolina,346,268,0.291,2,4,-0.500,2,0,2,2,0,2,2
Oregon,280,178,0.573,5,7,-0.286,4,0,3,3,0,6,4
Pennsylvania,83,45,0.844,8,2,3.000,8,0,9,2,7,9,8
Tennessee,134,114,0.175,3,0,inf,2,0,3,3,0,3,2
Texas,556,409,0.359,11,4,1.750,13,2,10,10,0,15,15
Utah,54,34,0.588,1,0,inf,1,0,0,0,0,1,1
Vermont,77,34,1.265,1,0,inf,1,0,1,1,0,1,1
Virginia,187,169,0.107,5,4,0.250,6,0,4,4,0,6,6
Washington,451,511,-0.117,26,29,-0.103,26,0,13,11,2,29,26
Wisconsin,157,50,2.140,3,0,inf,3,0,1,1,0,4,3
Georgia,253,147,0.721,0,4,-1.000,0,0,0,0,0,0,0
Iowa,21,9,1.333,0,1,-1.000,0,0,0,0,0,0,0
Montana,26,37,-0.297,0,1,-1.000,0,0,0,0,0,0,0
North Dakota,22,19,0.158,0,1,-1.000,0,0,0,0,0,0,0
Ohio,53,346,-0.847,0,6,-1.000,0,0,0,0,0,0,0
West Virginia,82,54,0.519,0,1,-1.000,0,0,0,0,0,0,0
Alabama,27,1,26.000,0,0,,0,0,0,0,0,0,0
Alaska,10,11,-0.091,0,0,,0,0,0,0,0,0,0
Delaware,13,22,-0.409,0,0,,0,0,0,0,0,0,0
New Mexico,65,52,0.250,0,0,,0,0,0,0,0,0,0
Oklahoma,58,30,0.933,0,0,,0,0,0,0,0,0,0
Rhode Island,14,17,-0.176,0,0,,0,0,0,0,0,0,0
South Carolina,123,57,1.158,0,0,,0,0,0,0,0,0,0
South Dakota,17,20,-0.150,0,0,,0,0,0,0,0,0,0
Wyoming,18,5,2.600,0,0,,0,0,0,0,0,0,0
